branch_name,lineage_class,mergeability_class,root_commit_family,shares_ancestor_with_main_flag,merge_base_with_main,unrelated_history_flag,ahead_of_main,behind_main
chore/ci-hygiene-backend-services-739,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2542,194
chore/ci-hygiene-backend-tests,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2539,194
chore/ci-hygiene-warning-gate,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2538,194
chore/ci-telemetry-pr-comment,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,690,194
chore/inventory-polish,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1077,194
chore/os-canon-bottom-tab-aria,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,4,147
chore/phase52-branch-protection-token-gate,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1165,194
chore/quarantine-batch-01-dirs,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1059,194
chore/quarantine-batch-02-dirs,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1060,194
chore/quarantine-batch-03-dirs,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1061,194
chore/quarantine-batch-04-dirs,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1062,194
chore/quarantine-operational-hardening,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1069,194
chore/quarantine-root-artifacts-01,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1066,194
chore/quarantine-root-artifacts-02,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1067,194
chore/quarantine-root-artifacts-final,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1068,194
chore/quarantine-root-md-01,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1063,194
chore/quarantine-root-md-02,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1064,194
chore/quarantine-root-md-03,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1065,194
chore/silence-noisy-workflows,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1073,194
chore/terra-levy-parity-sync,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,2988,194
chore/token-compliance-186-to-66,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1477,194
chore/ui-ux-pro-max-skill,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,9,147
chore/wo-test-honesty-13b-retire-dead-scaffold,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,1,171
chunk-1-integration,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,3096,194
ci/deps-fast-lane,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,773,194
claude/academy-institutional-intelligence-lupx88,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,7,164
claude/brain-domain-packs-n2fgty,MAIN-CURRENT (f2511bb),MERGE-CANDIDATE,f2511bbce,true,20eda5470,false,9,147
claude/cc2-zero-import-hooks,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1519,194
claude/cc3-imported-fakes,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1518,194
claude/cc4-forge-inventory,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1518,194
claude/cc5-pilot-api-verify,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1520,194
claude/cc6-real-trace,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1519,194
claude/clever-edison,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1472,194
claude/cranky-vaughan,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1501,194
claude/find-todos-01Qg77veio7wJN9wAgs96TyF,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1115,194
claude/goofy-satoshi,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1843,194
claude/priceless-payne,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1298,194
claude/r1-cc1-cc5-delivery,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1518,194
claude/relaxed-pare,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1474,194
claude/review-progress-ledger-a8iw5,LEGACY (7c26657),PORT-ONLY,7c266576a,false,NONE,true,1840,194
claude/terrafusion-forensic-playbook-u3kvx6,MAIN-CURRENT (f2511bb),CONTAINED,f2511bbce,true,2ae013561,false,0,0
claude/terrafusion-home-screen-6la5b3,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,16,90
claude/terranotice-gui-package-57o7lk,THIRD-ROOT (5d16d8f),PORT-ONLY,5d16d8fee,false,NONE,true,4,91
